"userid","path_type","multi_user_label","single_user","multiple_user","total_events","completed_count","completed_cat","not_completed_count","event_count_cat","device_cat","ipad_event","iphone_event","ipod_event","max_stage_complete","pathways_complete_rank","pathways_reach_rank","pathways_count","alc_count","average_age_int","max_stage","first_week","second_week","third_week","distinct_weeks","distinct_days","avg_weekly_visit","avg_daily_hrs","weekly_visit_cat","max_days_into_trial","avg_days_from_trial","trial_day","max_stage_num","avg_level","avg_cluster","avg_step","pop_event_day","pop_title","pop_category","distinct_titles","title_count_cat","max_row","max_column","avg_row","avg_col","ctp"
9.108973501446284e+17,"pathways","Single-user",1,0,10,4,"low",4,"low","iPhone",0,10,0,"C",131,211,10,0,2,"C",1,0,0,2,3,3,0,"low",30,13,10,3,1,1,2,"Thursday ","Letter Trees: A,a",,4,"low",,,,,0
9.144587467083465e+17,"alc, pathways","Multiple-user",0,1,105,69,"very_high",33,"very high","iPad",105,0,0,"C",531,531,64,41,5,"C",1,1,0,3,10,26,1,"high",25,7,13,3,3,1,6,"Friday   ","The Airport",,44,,8,14,2,3,1
9.147523622991662e+17,"pathways","Single-user",1,0,18,13,"med",4,"medium","iPad",18,0,0,"D",381,391,18,0,6,"D",1,0,0,1,1,18,0,"high",0,0,6,4,3,1,6,"Friday   ","Sounds Abound",,14,"med",,,,,1
9.177733372453597e+17,"pathways","Single-user",1,0,64,50,"med",9,"high","iPhone",0,64,0,"E",701,711,64,0,6,"E",1,0,1,2,5,16,0,"medium",20,9,10,5,4,1,6,"Tuesday  ","Speed Read",,31,"high",,,,,0
9.238506594090666e+17,"alc, pathways","Multiple-user",0,1,71,24,"med",45,"high","iPhone",0,71,0,"C",311,311,59,12,,"C",1,0,0,2,4,24,0,"high",31,10,1,3,2,1,5,"Sunday   ","My Bones and Muscles",,23,"high",3,4,2,1,1
9.283971433491395e+17,"pathways","Single-user",1,0,65,44,"med",13,"high","iPad",65,0,0,"C",571,571,65,0,4,"C",1,1,0,3,7,16,2,"medium",31,10,12,3,3,1,8,"Sunday   ","Let's Draw",,42,"high",,,,,1
9.329136663185779e+17,"pathways","Single-user",1,0,19,11,"med",7,"medium","iPad",19,0,0,"C",251,261,19,0,5,"C",1,0,0,1,2,19,0,"high",1,0,6,3,2,1,3,"Friday   ","Letter Trees: A,a",,9,"low",,,,,0
9.34285819823606e+17,"pathways","Multiple-user",0,1,66,45,"med",14,"high","iPhone",0,66,0,"D",551,561,66,0,,"D",1,1,1,4,11,17,0,"medium",30,13,2,4,3,1,7,"Monday   ","Make the Letters: T,t",,37,"high",,,,,1
9.376585495034778e+17,"pathways","Single-user",1,0,16,11,"med",3,"medium","iPhone",0,16,0,"A",331,331,16,0,2,"A",1,0,0,1,2,16,0,"medium",1,0,11,1,2,1,3,"Wednesday","Singin' the Alphabet",,7,"low",,,,,0
9.386249995997962e+17,"pathways","Single-user",1,0,14,11,"med",3,"medium","iPad",14,0,0,"D",311,321,14,0,5,"D",1,0,0,1,1,14,0,"medium",0,0,8,4,2,1,4,"Sunday   ","Make the Letters: A,a",,11,"med",,,,,1
9.512041443927414e+17,"pathways","Single-user",1,0,3,2,"low",0,"low","iPhone",0,3,0,"A",121,211,3,0,1,"A",1,0,0,1,1,3,0,"low",0,0,4,1,1,1,1,"Wednesday","Letter Hunt",,2,"low",,,,,0
9.550909410042995e+17,"alc, pathways","Multiple-user",0,1,140,70,"very_high",66,"very high","iPhone",0,140,0,"D",641,641,104,36,5,"D",1,1,1,4,10,23,2,"high",30,8,14,4,4,1,6,"Tuesday  ","Let's Draw",,66,"very high",5,5,2,2,0
9.557737306389964e+17,"alc, pathways","Single-user",1,0,138,94,"very_high",37,"very high","iPad",138,0,0,"C",851,861,137,1,5,"C",1,0,1,3,6,35,5,"very high",31,4,3,3,5,1,7,"Wednesday","Let's Draw",,84,"very high",2,0,2,0,1
9.577284599152141e+17,"pathways","Single-user",1,0,11,5,"low",5,"low","iPhone",0,11,0,"E",221,241,11,0,4,"E",1,0,0,1,1,11,0,"medium",0,0,7,5,2,1,2,"Saturday ","Let's Draw",,7,"low",,,,,0
9.577383541297244e+17,"alc, pathways","Single-user",1,0,178,134,"very_high",41,"very high","iPad",178,0,0,"C",991,991,169,9,4,"C",1,1,0,3,9,59,1,"very high",24,7,10,3,4,1,6,"Thursday ","Let's Draw",,88,"very high",4,15,2,3,1
9.58035110772032e+17,"alc, pathways","Single-user",1,0,31,19,"med",11,"medium","iPad",31,0,0,"C",211,221,5,26,3,"C",1,1,0,2,2,16,0,"medium",12,10,2,3,1,1,2,"Sunday   ","Princess Skateboarder",,24,"high",4,11,3,6,0
9.581268939823603e+17,"pathways","Single-user",1,0,47,41,"med",4,"high","iPhone",0,47,0,"D",541,541,47,0,5,"D",1,1,0,2,2,24,0,"high",13,5,3,4,3,1,6,"Tuesday  ","What's That Sound?",,35,"high",,,,,1
9.614806512639959e+17,"alc, pathways","Single-user",1,0,166,89,"very_high",77,"very high","iPhone",0,166,0,"D",131,131,5,161,4,"D",1,1,1,3,8,55,3,"very high",18,5,10,4,1,1,2,"Saturday ","I'm Fast","DTW",39,"high",27,12,8,3,0
9.630292120035089e+17,"pathways","Multiple-user",0,1,62,56,"high",6,"high","iPad",62,0,0,"D",701,701,62,0,6,"D",1,0,0,1,3,31,1,"high",3,2,14,4,4,1,5,"Monday   ","Make the Letters: A,a",,27,"high",,,,,1
9.638585922302004e+17,"alc, pathways","Multiple-user",0,1,48,34,"med",13,"high","iPhone",0,48,0,"C",311,321,41,7,4,"C",1,0,1,2,5,16,1,"medium",20,2,3,3,2,1,4,"Tuesday  ","Let's Draw",,18,"med",3,3,1,2,1
9.674822301762412e+17,"alc, pathways","Multiple-user",0,1,205,145,"very_high",55,"very high","iPad",205,0,0,"D",941,961,132,73,4,"D",1,1,1,4,12,41,2,"very high",30,11,13,4,5,1,6,"Friday   ","Make the Letters: A,a",,77,"very high",15,14,3,4,1
9.755638812634565e+17,"pathways","Single-user",1,0,3,2,"low",0,"low","iPhone",0,3,0,"B",121,211,3,0,3,"B",1,0,0,1,1,3,0,"low",0,0,6,2,1,1,1,"Friday   ","Letter Hunt",,2,"low",,,,,1
9.803028101984835e+17,"alc, pathways","Single-user",1,0,39,29,"med",10,"high","iPhone",0,39,0,"C",331,341,26,13,5,"C",1,1,1,3,3,13,0,"medium",21,3,12,3,2,1,6,"Thursday ","Make the Letters: A,a",,23,"high",4,21,1,10,1
9.85377562000482e+17,"alc, pathways","Single-user",1,0,142,112,"very_high",19,"very high","iPad",142,0,0,"C",981,991,136,6,4,"C",1,1,0,2,6,71,1,"very high",14,9,13,3,4,2,5,"Friday   ","Letters and Sounds",,76,"very high",1,5,1,3,0
9.914952658147259e+17,"pathways","Single-user",1,0,16,13,"med",2,"medium","iPad",16,0,0,"D",311,311,16,0,7,"D",1,0,0,1,1,16,0,"medium",0,0,4,4,2,1,5,"Wednesday","Let's Draw",,14,"med",,,,,1
9.947580337799004e+17,"alc, pathways","Multiple-user",0,1,156,114,"very_high",37,"very high","iPad",156,0,0,"E",511,511,94,62,5,"E",1,1,1,4,10,31,4,"high",29,12,2,5,2,1,6,"Friday   ","Daisy Bell",,70,"very high",19,24,4,3,1
9.952826726725421e+17,"alc, pathways","Single-user",1,0,5,3,"low",1,"low","iPhone",0,5,0,,,,1,4,5,,1,0,0,1,2,3,0,"low",6,1,14,,1,,1,"Saturday ","Make the Letter A","GAM",5,"low",3,2,2,1,1
9.978225653445366e+17,"alc, pathways","Multiple-user",0,1,79,33,"med",44,"high","iPhone",0,79,0,"C",341,341,59,20,3,"C",1,1,0,2,5,26,0,"high",8,2,14,3,2,1,5,"Saturday ","Peter Piper",,33,"high",10,22,3,5,0
1.0043732247873093e+18,"alc, pathways","Multiple-user",0,1,30,18,"med",12,"medium","iPad",30,0,0,"C",261,281,14,16,,"C",1,0,0,1,1,30,1,"high",0,0,3,3,2,1,4,"Tuesday  ","Tom Is With Rob",,20,"med",1,4,1,1,0
1.0066947286002899e+18,"alc, pathways","Single-user",1,0,33,14,"med",17,"medium","iPhone",0,33,0,"D",221,241,23,10,5,"D",1,1,1,4,4,8,0,"low",22,11,8,4,2,1,2,"Tuesday  ","Make the Letters: A,a",,12,"med",16,6,6,2,0
1.0089861576143089e+18,"alc, pathways","Single-user",1,0,63,41,"med",20,"high","iPhone",0,63,0,"E",211,221,13,50,5,"E",1,1,0,2,5,32,3,"high",9,3,2,5,2,1,2,"Monday   ","First Sound, Middle Sound","GAM",48,"very high",8,7,2,2,0
1.0100534830452607e+18,"pathways","Single-user",1,0,253,182,"very_high",60,"very high","iPhone",0,253,0,"E",1322,1322,253,0,4,"E",1,1,1,4,15,63,2,"very high",28,18,11,5,6,2,6,"Wednesday","What's That Sound?",,67,"very high",,,,,1
